TestId,TestStatus,serial.port,comport_binding,interface,ser.baudrate,ser.bytesize,ser.parity,ser.stopbits,ser.xonxoff,ser.rtscts,ser.dsrdtr,host,tcp.port,packet.length,iterations,FileSend
52,TRUE,COM4,data1,rs232,150,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
53,TRUE,COM4,data1,rs232,200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
54,TRUE,COM4,data1,rs232,300,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
55,TRUE,COM4,data1,rs232,600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
56,TRUE,COM4,data1,rs232,1200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
57,TRUE,COM4,data1,rs232,1800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
58,TRUE,COM4,data1,rs232,2400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
59,TRUE,COM4,data1,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
60,TRUE,COM4,data1,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
61,TRUE,COM4,data1,rs232,19200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
62,TRUE,COM4,data1,rs232,38400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
63,TRUE,COM4,data1,rs232,57600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
64,TRUE,COM4,data1,rs232,115200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
